ID,Categoria,Frase,Autore,Stato,Colonna_F_Testo_Elaborazione
1,Motivazione,"Il successo non è definitivo, il fallimento non è fatale: ciò che conta è il coraggio di andare avanti.",Winston Churchill,Disponibile,"Il successo non è definitivo, il fallimento non è fatale: ciò che conta è il coraggio di andare avanti. — Winston Churchill"
2,Vendita,"Smetti di vendere. Inizia ad aiutare.",Zig Ziglar,Disponibile,"Smetti di vendere. Inizia ad aiutare. — Zig Ziglar"
3,Immobiliare,"Non aspettare di comprare immobili. Compra immobili e aspetta.",Will Rogers,Disponibile,"Non aspettare di comprare immobili. Compra immobili e aspetta. — Will Rogers"
4,Mindset,"Se puoi sognarlo, puoi farlo.",Walt Disney,Disponibile,"Se puoi sognarlo, puoi farlo. — Walt Disney"
5,Disciplina,"La disciplina è scegliere tra ciò che vuoi ora e ciò che vuoi di più.",Abraham Lincoln,Disponibile,"La disciplina è scegliere tra ciò che vuoi ora e ciò che vuoi di più. — Abraham Lincoln"
6,Business,"Le opportunità non accadono. Le crei tu.",Chris Grosser,Disponibile,"Le opportunità non accadono. Le crei tu. — Chris Grosser"
7,Vendita,"Non conta chi conosci, ma chi vuole fare affari con te.",Antonio Giancani,Disponibile,"Non conta chi conosci, ma chi vuole fare affari con te. — Antonio Giancani"
8,Focus,"Dove va il focus, scorre l'energia.",Tony Robbins,Disponibile,"Dove va il focus, scorre l'energia. — Tony Robbins"
9,Immobiliare,"Il miglior investimento sulla Terra è la terra.",Louis Glickman,Disponibile,"Il miglior investimento sulla Terra è la terra. — Louis Glickman"
10,Motivazione,"Il tuo unico limite è la visione che hai di te stesso.",Antonio Giancani,Disponibile,"Il tuo unico limite è la visione che hai di te stesso. — Antonio Giancani"
11,Business,"Il successo è la somma di piccoli sforzi, ripetuti giorno dopo giorno.",Robert Collier,Disponibile,"Il successo è la somma di piccoli sforzi, ripetuti giorno dopo giorno. — Robert Collier"
12,Mindset,"Non abbassare i tuoi obiettivi. Aumenta i tuoi sforzi.",Antonio Giancani,Disponibile,"Non abbassare i tuoi obiettivi. Aumenta i tuoi sforzi. — Antonio Giancani"
13,Vendita,"La vendita è un trasferimento di emozioni.",Zig Ziglar,Disponibile,"La vendita è un trasferimento di emozioni. — Zig Ziglar"
14,Disciplina,"Senza fretta, ma senza sosta.",Goethe,Disponibile,"Senza fretta, ma senza sosta. — Goethe"
15,Immobiliare,"Possedere una casa è la chiave di volta della ricchezza.",Suze Orman,Disponibile,"Possedere una casa è la chiave di volta della ricchezza. — Suze Orman"
16,Focus,"Non essere occupato, sii produttivo.",Tim Ferriss,Disponibile,"Non essere occupato, sii produttivo. — Tim Ferriss"
17,Business,"La qualità significa fare le cose bene quando nessuno ti sta guardando.",Henry Ford,Disponibile,"La qualità significa fare le cose bene quando nessuno ti sta guardando. — Henry Ford"
18,Motivazione,"Il momento migliore per piantare un albero era 20 anni fa. Il secondo momento migliore è ora.",Proverbio Cinese,Disponibile,"Il momento migliore per piantare un albero era 20 anni fa. Il secondo momento migliore è ora. — Proverbio Cinese"
19,Vendita,"Ogni NO ti avvicina al prossimo SÌ.",Antonio Giancani,Disponibile,"Ogni NO ti avvicina al prossimo SÌ. — Antonio Giancani"
20,Mindset,"Che tu creda di farcela o di non farcela, avrai comunque ragione.",Henry Ford,Disponibile,"Che tu creda di farcela o di non farcela, avrai comunque ragione. — Henry Ford"
21,Mindset,"Che tu creda di farcela o di non farcela, hai ragione.",Henry Ford,Disponibile,"Che tu creda di farcela o di non farcela, hai ragione. — Henry Ford"
22,Mindset,"Il successo non è definitivo, il fallimento non è fatale: ciò che conta è il coraggio di andare avanti.",Winston Churchill,Disponibile,"Il successo non è definitivo, il fallimento non è fatale: ciò che conta è il coraggio di andare avanti. — Winston Churchill"
23,Mindset,"Non aspettare. Il momento non sarà mai quello giusto.",Napoleon Hill,Disponibile,"Non aspettare. Il momento non sarà mai quello giusto. — Napoleon Hill"
24,Mindset,"Tutto ciò che puoi immaginare è reale.",Pablo Picasso,Disponibile,"Tutto ciò che puoi immaginare è reale. — Pablo Picasso"
25,Mindset,"Il modo migliore per predire il futuro è crearlo.",Peter Drucker,Disponibile,"Il modo migliore per predire il futuro è crearlo. — Peter Drucker"
26,Mindset,"Sii il cambiamento che vuoi vedere nel mondo.",Mahatma Gandhi,Disponibile,"Sii il cambiamento che vuoi vedere nel mondo. — Mahatma Gandhi"
27,Mindset,"La logica ti porta da A a B. L'immaginazione ti porta ovunque.",Albert Einstein,Disponibile,"La logica ti porta da A a B. L'immaginazione ti porta ovunque. — Albert Einstein"
28,Mindset,"L'unico modo per fare un ottimo lavoro è amare quello che fai.",Steve Jobs,Disponibile,"L'unico modo per fare un ottimo lavoro è amare quello che fai. — Steve Jobs"
29,Mindset,"Non giudicarmi dai miei successi ma da tutte le volte che sono caduto e mi sono rialzato.",Nelson Mandela,Disponibile,"Non giudicarmi dai miei successi ma da tutte le volte che sono caduto e mi sono rialzato. — Nelson Mandela"
30,Mindset,"La vita è per il 10% cosa ti accade e per il 90% come reagisci.",Charles R. Swindoll,Disponibile,"La vita è per il 10% cosa ti accade e per il 90% come reagisci. — Charles R. Swindoll"
31,Mindset,"Se non scommetti su te stesso, nessuno lo farà per te.",Antonio Giancani,Disponibile,"Se non scommetti su te stesso, nessuno lo farà per te. — Antonio Giancani"
32,Mindset,"Le difficoltà spesso preparano le persone comuni a un destino straordinario.",C.S. Lewis,Disponibile,"Le difficoltà spesso preparano le persone comuni a un destino straordinario. — C.S. Lewis"
33,Mindset,"Il dubbio uccide più sogni di quanto possa mai fare il fallimento.",Suzy Kassem,Disponibile,"Il dubbio uccide più sogni di quanto possa mai fare il fallimento. — Suzy Kassem"
34,Mindset,"Non permettere a nessuno di dirti che non puoi fare qualcosa.",La ricerca della felicità,Disponibile,"Non permettere a nessuno di dirti che non puoi fare qualcosa. — La ricerca della felicità"
35,Mindset,"Un vincitore è un sognatore che non si è mai arreso.",Nelson Mandela,Disponibile,"Un vincitore è un sognatore che non si è mai arreso. — Nelson Mandela"
