ID,Categoria,Argomento,Normativa_Riferimento,Orario,Colonna_F_Testo_Elaborazione,Stato
1,Antico Testamento,Davide e Golia,1 Samuele 17,20:00,"Ecco a voi in 2 minuti: la memorabile sfida tra Davide e Golia. Nella valle del Terebinto, l'esercito filisteo sfida Israele. Un guerriero gigante avanza minaccioso: Golia di Gat. Nessun soldato osa farsi avanti e la paura paralizza l'accampamento. Ma un giovane pastore si presenta: il suo nome è Davide. Non ha corazze né armi pesanti, porta con sé solo una fionda e una fede incrollabile. Raccoglie cinque pietre lisce dal torrente e affronta il gigante a viso aperto. Golia lo deride, ma Davide risponde: «Io vengo nel nome dell'Eterno.» Scaglia la pietra con precisione: il gigante stramazza al suolo. Nessun ostacolo è insormontabile quando si cammina con fede e rettitudine.",Pronto
2,Antico Testamento,Il Passaggio del Mar Rosso,Esodo 14,20:00,"Ecco a voi in 2 minuti: il prodigioso passaggio del Mar Rosso. Il popolo d'Israele è accampato sulle rive delle acque profonde. Alle spalle incombono i carri da guerra del faraone. Mosè rassicura la folla: «Non temete, state fermi e vedrete la salvezza dell'Eterno.» Alza il suo bastone verso il mare: un potente vento d'oriente soffia tutta la notte. Le grandi acque si dividono creando due muraglie liquide. Il popolo cammina all'asciutto attraverso il fondale aperto. All'alba il mare si richiude con potenza cancellando la minaccia. La libertà trionfa sulla schiavitù e apre il cammino verso la terra promessa.",Pronto
3,Antico Testamento,L'Arca di Noè e il Diluvio,Genesi 6-9,20:00,"Ecco a voi in 2 minuti: il racconto della grande arca e del patto eterno. In un mondo smarrito e corrotto, Noè cammina con integrità e giustizia. Riceve l'ordine divino di costruire un'imponente arca di legno per custodire la vita. Lavora con costanza e pazienza tra l'incredulità generale. Gli animali entrano a coppie e le porte vengono chiuse. La pioggia cade per quaranta giorni, ma l'arca galleggia sicura sulle onde. Quando le acque calano, una colomba torna recando un ramoscello d'ulivo. Sulla vetta dell'Ararat risplende l'arcobaleno: il segno eterno di pace e rinnovamento per il mondo.",Pronto
4,Antico Testamento,Daniele nella Fossa dei Leoni,Daniele 6,20:00,"Ecco a voi in 2 minuti: la prova di fede di Daniele a Babilonia. Un decreto reale vieta di rivolgere preghiere a chiunque all'infuori del re per trenta giorni. Daniele non cede al compromesso: apre le finestre verso Gerusalemme e prega tre volte al giorno. Scoperto dai cortigiani invidiosi, viene gettato nella fossa dei leoni affamati. Il re attende con angoscia per tutta la notte. All'alba corre alla fossa e chiama il profeta con trepidazione. Daniele risponde incolume: «L'angelo di Dio ha chiuso la bocca dei leoni, perché sono stato trovato integro.» La rettitudine morale è uno scudo incrollabile contro ogni avversità.",Pronto
5,Vangelo,La Nascita di Gesù a Betlemme,Luca 2,20:00,"Ecco a voi in 2 minuti: la nascita che ha cambiato il corso dei secoli. Maria e Giuseppe raggiungono Betlemme per il censimento, ma per loro non c'è posto nell'alloggio. Trovano riparo in un'umile stalla dove viene alla luce il Salvatore, avvolto in fasce e deposto in una mangiatoia. Nei campi vicini, i pastori vegliano il gregge nella notte. Una luce celestiale irrompe nel buio e l'angelo annuncia: «Vi porto una grande gioia: oggi è nato il Salvatore.» Cori angelici intonano la gloria nei cieli e la pace in terra. I cuori semplici accorrono meravigliati contemplando la luce divina nell'umiltà.",Pronto
6,Parabole di Gesù,Il Buon Samaritano,Luca 10,20:00,"Ecco a voi in 2 minuti: la parabola che definisce il vero amore per il prossimo. Un viaggiatore viene assalito dai briganti lungo la strada per Gerico, percosso e abbandonato sul ciglio della via. Un sacerdote e un levita passano oltre senza fermarsi. Un samaritano in viaggio lo vede e ne ha profonda compassione: fascia le sue ferite versando olio e vino, lo carica sulla propria cavalcatura e lo porta a una locanda. Paga le spese di tasca propria garantendo la sua cura. Il vero prossimo non è chi parla d'amore, ma chi si china con misericordia e soccorre con gesti concreti.",Pronto
7,Parabole di Gesù,Il Figliol Prodigo,Luca 15,20:00,"Ecco a voi in 2 minuti: la grandezza del perdono e della misericordia paterna. Un figlio giovane esige la sua parte di beni e parte verso terre lontane dove dissipa ogni ricchezza. Ridotto alla fame a pascolare i porci, rientra in se stesso e decide di tornare a casa per chiedere perdono come semplice servo. Il padre lo scorge da lontano, gli corre incontro, lo abbraccia e lo bacia teneramente. Ordina vesti preziose, calzari e un grande banchetto: «Mio figlio era perduto ed è stato ritrovato.» Nessun errore è definitivo per chi ritorna con cuore umile all'amore del Padre.",Pronto
8,Miracoli di Gesù,La Tempesta Sedata sul Lago,Marco 4,20:00,"Ecco a voi in 2 minuti: l'autorità divina sulle tempeste della vita. Sul far della sera, Gesù e i discepoli attraversano in barca il lago di Tiberiade. Si scatena una bufera violenta con onde che sommergono lo scafo, mentre Gesù riposa sereno a poppa su un cuscino. I discepoli atterriti lo svegliano gridando: «Maestro, non ti importa che moriamo?» Egli si alza, comanda al vento e dice alle acque: «Taci, calmati!» All'istante scende una calma profonda. «Perché avete paura? Non avete ancora fede?» Anche nel mezzo delle burrasche più oscure, la parola di Dio dona sicurezza incrollabile.",Pronto
9,Antico Testamento,La Creazione e la Luce,Genesi 1,20:00,"Ecco a voi in 2 minuti: l'origine del creato e la grandezza della Parola. Nel principio la terra è informe e deserta, avvolta dalle tenebre dell'abisso. Lo Spirito di Dio aleggia sulle acque e una voce risuona: «Sia la luce!» La luce squarcia il buio e nascono i cieli, le distese marine e la terra feconda di alberi e frutti. Il firmamento si accende di stelle e il sole rischiara il giorno. Ogni opera rivela perfezione, armonia e bellezza infinita. La vita sboccia come dono sacro affidato alla cura e alla sapienza dell'essere umano.",Pronto
10,Antico Testamento,Il Roveto Ardente di Mosè,Esodo 3,20:00,"Ecco a voi in 2 minuti: la chiamata di Mosè ai piedi del monte Oreb. Mentre conduce il gregge nel deserto, Mosè nota un cespuglio che brucia con fiamma viva senza mai consumarsi. Si avvicina stupito e una voce solenne lo chiama dal mezzo del fuoco: «Togliti i calzari, perché il luogo su cui stai è terra santa.» L'Eterno gli rivela il suo nome eterno: «IO SONO COLUI CHE SONO» e gli affida la missione di liberare il popolo oppresso. Quando Dio chiama, dona sempre la forza per compiere l'impossibile.",Pronto
11,Antico Testamento,I Dieci Comandamenti sul Sinai,Esodo 20,20:00,"Ecco a voi in 2 minuti: la legge eterna donata sul monte Sinai. Il monte è avvolto da una nube maestosa, lampi e suono potente di shofar. L'Eterno proclama le dieci parole di vita incise sulle tavole di pietra: onorare il Creatore, custodire il riposo sacro, rispettare i genitori, non uccidere, non rubare, non mentire e bandire l'avidità. Non sono catene di divieto, ma pilastri di autentica libertà, giustizia sociale e rispetto reciproco. Una guida perenne per costruire una società giusta e duratura.",Pronto
12,Antico Testamento,La Caduta delle Mura di Gerico,Giosuè 6,20:00,"Ecco a voi in 2 minuti: la presa di Gerico e il potere della saldezza spirituale. La città fortificata è blindata dietro torri e mura inespugnabili. Giosuè riceve un comando inusuale: marciare in silenzio attorno alle mura una volta al giorno per sei giorni con l'Arca dell'Alleanza. Al settimo giorno, i sacerdoti suonano le trombe d'ariete e tutto il popolo eleva un grido unanime. Le mura crollano all'istante aprendo la via senza armi pesanti. La fedeltà e la pazienza abbattono le barriere più insormontabili.",Pronto
13,Antico Testamento,Il Sacrificio sul Monte Carmelo ed Elia,1 Re 18,20:00,"Ecco a voi in 2 minuti: la grande sfida tra il profeta Elia e i quattrocento profeti di Baal. Sul monte Carmelo il popolo è incerto tra due vie. Elia ricostruisce l'altare abbattuto con dodici pietre, scava un canale e fa versare abbondante acqua sul sacrificio. Poi leva una preghiera limpida: «Rispondimi, o Eterno, affinché questo popolo riconosca che tu sei Dio.» Il fuoco scende dal cielo consumando l'offerta e l'acqua del fosso. Il popolo cade prostrato esclamando: «L'Eterno è Dio!» La verità risplende limpida sopra ogni menzogna.",Pronto
14,Antico Testamento,Giona e la Grande Balena,Giona 1-3,20:00,"Ecco a voi in 2 minuti: la fuga e il riscatto del profeta Giona. Inviato a predicare a Ninive, Giona tenta di fuggire imbarcandosi verso Tarsis. Una tempesta furiosa scuote la nave e il profeta riconosce la sua colpa chiedendo di essere gettato tra i flutti per salvare i marinai. Un grande pesce lo accoglie nelle sue viscere dove Giona prega con pentimento sincero per tre giorni e tre notti. Restituito alla riva, va a Ninive annunciando il riscatto: la città ascolta e si salva. La misericordia divina non conosce confini né esclusioni.",Pronto
15,Miracoli di Gesù,La Moltiplicazione dei Pani e dei Pesci,Matteo 14,20:00,"Ecco a voi in 2 minuti: il miracolo della condivisione nel deserto. Una folla numerosa segue Gesù fino a un luogo isolato mentre cala la sera. I discepoli suggeriscono di rimandarli nei villaggi, ma Gesù risponde: «Date loro voi stessi da mangiare.» Un ragazzo mette a disposizione ciò che ha: appena cinque pani d'orzo e due piccoli pesci. Gesù alza gli occhi al cielo, pronuncia la benedizione e spezza i pani. Il cibo si moltiplica tra le mani degli apostoli saziando cinquemila persone, con dodici ceste colme rimaste.",Pronto
